full_text,ner
بورين سالكه ؟ سالكه,O STAT O STAT
 ازمة حوارة لعند مفرق كيا شارع القدس,STAT B-LOC O O O O O
 حاجز حواره سالك,Barr B-LOC STAT
ازمة حوارة لعند مفرق كيا شارع القدس مش ازمه,STAT B-LOC O O O O O O STAT
 وين احسن طريق للخارج نابلس جنين,O O Barr O O O
داخل نابلس الوضع حاجز حواره سالك,O O O Barr B-LOC STAT
 ازمه,STAT
داخل نابلس الوضع حاجز حواره سالك,O O O Barr B-LOC STAT
 طالع زعتره سالك,O B-LOC STAT
 زعتره سالك عكل الاتجاهات,B-LOC STAT O O
 الي طالع زعتره سالك,O O B-LOC STAT
 سالكه,STAT
 دير شرف فاتحة مسكرة,B-LOC I-LOC STAT STAT
حوارة سالك للطالع نابلس؟؟ احسن حاليا ازمه خانقه,B-LOC STAT O O O O STAT O
المربعه؟ سالكه,B-LOC STAT
مين دير شرف حركه سير ماشيه,O B-LOC I-LOC O O STAT
اريحا طولكرم شو الوضع دير بالك الشرطه,O O O O B-LOC O B-ORG
 فاتح حاجز حوارة للداخل نابلس,STAT Barr B-LOC O O
 حواره ازمه عالجهتين وسالك للي داخل,B-LOC STAT O STAT O O
 حاجز حوارة حدا بعرف عنوا اشي للي داخل وطالع,Barr B-LOC O O O STAT O O O
 طالع ازمه خانقه,O STAT O
 حواره الداخل نابلس سالك,B-LOC O O STAT
حواره الداخل نابلس سالك والخارج,B-LOC O O STAT O
 ازمه خانقه,STAT O
 دوار كدميم دوريه شرطه,Barr B-LOC O B-ORG
 طريق وادي قانا شرطه,Barr B-LOC I-LOC B-ORG
حاجز حوارة لداخل نابلس مفتوح ؟ للداخل نابلس مفتوح,Barr B-LOC O O STAT O O O STAT
 للي طالع نابلس حاجز حوارة مش طبيعي,O O O Barr B-LOC O O
 وين اخف طريق فش أزمة للبدو يخرج نابلس,O O Barr O STAT O O O
صره الحين طلعت صره فاتحه طبيعي دخلت نابلس,B-LOC O O B-LOC STAT O O O
 حاجز بيت فوريك الان,Barr B-LOC I-LOC O
مربعه فاتحه فش اشي البوابه يتسهار مسكره طب المربعة بورين سالكه,B-LOC STAT O STAT O B-LOC STAT O B-LOC O STAT
طب المربعة بورين سالكه اه سالكه,O B-LOC O STAT O STAT
 العيزرية زاططططمه,B-LOC O
 سالك,STAT
 سألك,O
 كونتينر مسكر,B-LOC STAT
 دوار كدوميم شرطة جماعة,Barr B-LOC B-ORG O
خط يتسهار لدوار سلمان الفارسي سالك؟ لء سالك,O B-LOC Barr B-LOC I-LOC STAT O STAT
 المستوطنين مدخل يتسهار واقفين,B-ORG O B-LOC STAT
 حاجز الكونتينر ازمه,Barr B-LOC STAT
 مستوطنين دوار سلمان الفارسي يتسهار,B-ORG Barr B-LOC I-LOC B-LOC
 المربعة فاتحة,B-LOC STAT
 طريق حوارة بحكو سكرت هالحكي؟,Barr B-LOC O STAT O
 للخارج نابلس تفتيش وتدقيق,O O STAT O
 لداخلين سالكه هسا دخلت,O STAT O O
 يتسهار حواارة سالك,B-LOC B-LOC STAT
 دير شرف سالك,B-LOC I-LOC STAT
 طريق حواره ازمه خانقه,Barr B-LOC STAT O
طريق حواره ازمه خانقه تفتيش كنه؟,Barr B-LOC STAT O STAT O
 يتسهار مستوطنين,B-LOC B-ORG
شو وضع صرة سالك,O O B-LOC STAT
هاد الرقم رنيت طلع لخط قلقيليه انا بدي خط رام الله ارقام مجمعات تكاسي المدنرقم كراجات نابلس رام الله رقم مجمع كراجات طولكرم نابلس مجمع بلدية سلفيت مجمع جنينمجمع التكسيات قلقيلية مراقب خط طولكرم مجمع نابلس مراقب خط قلقيلية نابلس,O B-LOC O O O O I-LOC O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
وضع المربعه ؟؟ سالكه بوابه ايتسهار مسكره,O B-LOC O STAT O B-LOC STAT
طريق قانا شو وضعها سالكة,Barr I-LOC O O STAT
 صرة سالكة ،للداخل وللخارج,B-LOC STAT O O
 المربعة مسكرة,B-LOC STAT
 حواره نابلس سالكه فش مشكله,B-LOC O STAT O O
 فاتح,STAT
 الحكي انه يتسهار المستوطنين مسكرينها,O O B-LOC B-ORG O
المربعة مسكرة صديقب المربعه فاتحه بوابه ايتسهار مسكره,B-LOC STAT O B-LOC STAT O B-LOC STAT
طريق عناب سالك,Barr B-LOC STAT
 فاتحة بوابة يتسهار مسكرة,STAT O B-LOC STAT
 تجمع مستوطنين دوار يتسهار بحمايه قوان الاحتلال,O B-ORG Barr B-LOC O O O
 تجمع للمستوطنين دوار سلمان الفارسي وسالكة حاليا,O B-ORG Barr B-LOC I-LOC STAT O
 يا شباب الي بدو يطلع رام الله يروح المربعة سالكه,O O O O O O O O B-LOC STAT
مربعه فاتحة ؟ فاتحة اه,B-LOC STAT O STAT O
 سينيا سالك,O STAT
 صره فاتحه,B-LOC STAT
للطالع صرة؟ سالك,O B-LOC STAT
 حاجز حواره,Barr B-LOC
شو اخر تحديث لدوار سلمان الفارسي سالك,O O O Barr B-LOC I-LOC STAT
شو وضع صرة سالك,O O B-LOC STAT
 طريق حواره سالكه ملات جيش,Barr B-LOC STAT O B-ORG
انا طلعو نابلس صرت واد الحراميه والطريق سالكه هلئ اما اذا اشي جديد لعرف سالك هيني هسه مرقت,I-LOC O O O B-LOC O O STAT O O O STAT O O STAT O O O
سالك هيني هسه مرقت بسلامه,STAT O O O O
يا إخوان حاجز حواره للخارج وضعه سالك مافي شي بحواره ملامه جيش الاخر,O O Barr B-LOC O O STAT O O O O B-ORG O
 اطفال مستوطنين دوار سلمان الفرسي طقيعة,O B-ORG Barr B-LOC I-LOC O
 صرة سالكة,B-LOC STAT
 حومش سالك لاء,O STAT O
 دوار سلمان الفارسي أزمة سالك,Barr B-LOC I-LOC STAT STAT
 هسا والله رجعت واد كانا كانت مستوطنين مسكرين الطريق,O O O B-LOC O O B-ORG STAT Barr
 مزبوط الدوار ازمه ملان جيش,O Barr STAT O B-ORG
 طريق المربعة سالك الان وجود لحواجز,Barr B-LOC STAT O O Barr
 صرة فاتح,B-LOC STAT
 ملان جيش مستوطن,O B-ORG B-ORG
 اشارات عيون الحرامية الساوية ساالك تماما,O O O O STAT B-LOC
 سالك دوار يتسهار اكم مستوطن الجيش برجع,STAT Barr B-LOC O B-ORG B-ORG O
 مرحبا الخروج نابلس لطولكرم حاليا,O O O O O
 زعترة سالك,B-LOC STAT
شباب شو وضع جبع الرام ازمه مش طبيعي,O O O B-LOC B-LOC STAT O O
 يتسهار تجمع مستوطنين,B-LOC O B-ORG
 دير شرف سالك,B-LOC I-LOC STAT
زعترة هيني سالكة,B-LOC O STAT
دير شرف سالك مسكرة,B-LOC I-LOC STAT STAT
 زعترة سالك وفاضي,B-LOC STAT STAT
 شباب المربعه سالكه,O B-LOC STAT
شباب المربعه سالكه بتسأل جواب,O B-LOC STAT O O
 حواره مسكره,B-LOC STAT
 ازمه باتجاه نابلس دوار الفارسي,STAT O O Barr I-LOC
 يسعد مساكم شباب بدي افوت عالطريق المربع بقدر افوت طريقه سهر,O O O O O O B-LOC O O Barr O
 أزمة خانقة جيت باتجاه الفندق,STAT O B-LOC O B-LOC
صرة لساتها فاتحه ؟ خمس دقايق مرقت فاتحة,B-LOC O STAT O O O O STAT
 حواره اليلد سالكة,B-LOC O STAT
الحاجز ؟ ازمة,Barr O STAT
 الي طالع نابلس ازمة الحاجز,O O O STAT Barr
 ازمة باتجاه دوار يتسهار حواره,STAT O Barr B-LOC B-LOC
الحاجز ؟ ازمة,Barr O STAT
؟؟ سااالك,O STAT
 يقوم بإرسال رسائل مزعجة العقوبة مكتوم,O O O O O O
 شباب حد حاجز الحمرا,O O Barr B-LOC
 حاجز حوارة,Barr B-LOC
 الطالع نابلس باتجاه حوارة عاملين محسوم بوقفو بالسيارات وازمة خانقة,O O O B-LOC O Barr O O STAT O
 حوارة سالكة يلي فايت نابلس,B-LOC STAT O O O
 زعترة سالك حواره البلد سالك دوار يتسهار ازمة للي داخل نابلس حواره,B-LOC STAT B-LOC O STAT Barr B-LOC STAT O O O B-LOC
 الي خارج نابلس,O O O
 الحمرة سالكة,B-LOC STAT
 الفندق ازمه,B-LOC STAT
 دواو يتسهار وجود جيش مكثف الطريق سالك,O B-LOC O B-ORG O Barr STAT
 حوارة سالك للداخل نابلس ازمة تفتيش للخارج حوارة,B-LOC STAT O O STAT STAT O B-LOC
 حوارة سالكة للداخل نابلس وجود جيش مكثف,B-LOC STAT O O O B-ORG O
 زعتره سالكه الاتجاهات ازمه خفيفه للي جاي رام الله,B-LOC STAT O STAT O O O O O
شوفلي دوار يتسهار شو وضعو انخم شفتو شبدك,O Barr B-LOC O O O O O
وضع حاجز حواره الي خارج نابلس ازمة,O Barr B-LOC O O O STAT
 سالك المفرق يتسهار,STAT O B-LOC
صرة فاتح؟ فاتح,B-LOC STAT STAT
تيسهار سالكة,B-LOC STAT
 شباب حد علم طريق الجنوب العيزريه والكونتينر,O O O Barr O B-LOC B-LOC
صره سالكه ؟ سالكة,B-LOC STAT O STAT
فاتح فاتح غامق,STAT STAT O
حوارة ؟ سالكة وازمة دوار يتسهار للي رايح نابلس,B-LOC O STAT STAT Barr B-LOC O O O
فاتح غامق كالح,STAT O O
؟؟؟؟ ازمة خانقة للخارج,O STAT O O
وضع الحاجز للي طالع نابلس حوارة ؟ ازمة وتفتيش,O Barr O O O B-LOC O STAT STAT
يا جماعه الرجاء خلو هاي الصفحه جديه لأنو الوضع يحتمل الهزار بهيك مواضيع سالت جاوب حدا,O O O O O O O O O O O O O O O O
 ازمه للي طالع رام لله,STAT O O O O
 مرحباالحمرا فاتح,O STAT
حواره صحيح ملانة جيش,B-LOC O O B-ORG
مرحباالحمرا فاتح فاتح,O STAT STAT
سالك فاتح,STAT STAT
 حوارة ازمة,B-LOC STAT
مفرق جيت صرة سالك حاليا,O B-LOC B-LOC STAT O
 خانقة,O
خانقة وييين مييين,O O O
 حاجز حوارة,Barr B-LOC
 مفرق جيت وصرة سالكات,O B-LOC B-LOC STAT
شو وضع الطريق بيت لحم لنابلس ؟؟ضروري سالك,O O Barr B-LOC O O O STAT
 حاجز حوارة فاتح بالاتجاهين حاليا الازمة واصلة لمفرق شارع القدس,Barr B-LOC STAT O O STAT O O O O
 المستوطنين,B-ORG
شو وضع بوابة عوفرا فاتحة مغلقة فاتحا,O O O B-LOC STAT STAT STAT
 حاجز حوارة,Barr B-LOC
وضع صرة للخارج؟ سالك حالياً ازمه الفندق وحركة ماشيه,O B-LOC O STAT O STAT B-LOC O STAT
 ازمه خانقه طريق الفندق بتجاه قلقيليه,STAT O Barr B-LOC O O
 الحاجز,Barr
 دير شرف سالكه,B-LOC I-LOC STAT
 الحاجز,Barr
عاجل الان الحدود اللبنانية استمعوا لصراخ الجنود والإصابات الجنود بعملية تفجير لغم بالجنوب الإسرائيلين بهاء يقوم بإرسال رسائل مزعجة العقوبة مكتوم,O O O O O O O O O O O O O I-ORG O O O O O O O
 اللي الو زماان مش طرباان اطرب صراااخ هالبغل صرااخگ يشعرني بالطررررررب,O O O O O O O O O O O
 عناب سالك,B-LOC STAT
 حومش سالكةدير شرف سالك,O O I-LOC STAT
 حاجز حوارة,Barr B-LOC
 خط يتسهار سألك ونظيف,O B-LOC O STAT
 طريق قانا سالكة ازمة,Barr I-LOC STAT STAT
 حوارة الداخل سالكالخارج ازمة وتفتيش,B-LOC O O STAT STAT
صرة شو وضعها صره سالكه,B-LOC O O B-LOC STAT
 صرة سالكة,B-LOC STAT
 دير شرف سالك,B-LOC I-LOC STAT
 المربعة سالكة,B-LOC STAT
 اللي نازل يتسهار بتجاه مفرق جيت ازمه,O O B-LOC O O B-LOC STAT
شو رأيك تقرأ هس المسجات طولي بالك,O O O O O O O
 حوارة البلد مفتوحة,B-LOC O STAT
حوارة البلد مفتوحة فاتحه,B-LOC O STAT STAT
 أزمة خانقه مخماس بتجاه جبع رام الله,STAT O O O B-LOC O O
 حواره يالك,B-LOC O
 سالك,STAT
 حواره سالك الي داخل نابلس,B-LOC STAT O O O
شو بالنسبة باتجاه جنين خط يتسهار خط يتسهار هيني سالك ازمه مفرق جيت وانت نازل يتسهار,O O O O O B-LOC O B-LOC O STAT STAT O B-LOC O O B-LOC
حواره يالك للاسف الشديد,B-LOC O O O
شباب صره فاتحه ؟ فاتحه,O B-LOC STAT O STAT
 شافي شمرون سالك,B-LOC I-LOC STAT
للاسف الشديد الي داخل نابلس الي طالع ازمه,O O O O O O O STAT
الي داخل سهل للخارج نابلس للخارج ازمه كثيررر,O O STAT O O O STAT O
 فاتحة حوارة,STAT B-LOC
 زعترة سالكة,B-LOC STAT
 حواره ازمه خانقه,B-LOC STAT O
 يتسهار دوار يتسهار حوارة كلو سالك فاضي,B-LOC Barr B-LOC B-LOC O STAT STAT
 للخارج رام الله,O O O
 يعني  مسارب للخارج نابلس طريق حاجز حوارة الداخل نابلس وين بدو يمشي,O O O O Barr Barr B-LOC O O O O O
اللي شايفه بنصحك تروح الحمرا حواره البلد سالكه,O O O O B-LOC B-LOC O STAT
يعطيكم العافيه شو وضع حاجز صره سألك دخلنا شي,O O O O Barr B-LOC O O O
 مدخل قلقيلية ازمة للي خارج,O O STAT O O
حواره كيف؟ ازمة تفتيش للطالع نابلس وسالك للداخل,B-LOC O STAT STAT O O STAT O
 بحكوا اطلاق نار دراجة واغلاق المكان قلقيلية,O STAT O O STAT O O
مسا الخير شبابصرة يتسهار حوارة للي طالع نابلس شو وضعهم سالكة,O O O B-LOC B-LOC O O O O O STAT
 شباب حاجز حوارة,O Barr B-LOC
بوابة يبرود؟ فاتحة,O O STAT
 فتح حاجز حوارة,STAT Barr B-LOC
سمحتي علمك بيت فوريك فاتح؟ فاتح,O O B-LOC I-LOC STAT STAT
 حوارة سالكة فش ازمة,B-LOC STAT O STAT
 ازمه الفندق لكدوميم,STAT B-LOC B-LOC
شو وضع حوارة عالداخل وين الاتجاه,O O B-LOC O O O
 طريق نابلس الفندق قلقيليه ازمه لكدوميم,Barr O B-LOC O STAT B-LOC
 بوابة تل مسكرة شرطة,O B-LOC STAT B-ORG
 سالك,STAT
 فيدونا صره ويتسهار سالكه لحواره,O B-LOC B-LOC STAT O
 طريق المربعة حوارة سالكة تمام التمام,Barr B-LOC B-LOC STAT O O
حاجز صره فاتح ؟ فاتح وسالك,Barr B-LOC STAT O STAT STAT
؟؟؟؟؟ فش اشي الجيش روح المستوطنين فش حد نظيف,O O STAT B-ORG O B-ORG O O STAT
وين عالمربعة يتسهار الجسر؟ الجسر,O B-LOC B-LOC O O
 شارع البيره باتجاه دوار الهدى زاطم,O O O Barr O STAT
دير شرف شافي شمرونجبع وضعها شباب ؟؟ سالك,B-LOC I-LOC B-LOC O O O O STAT
 صحيح سكرو مدخل قلقيلية؟؟,O STAT O O
 حوارة بنابلس سالكة,B-LOC O STAT
 الحاجز سالك للداخل نابلس,Barr STAT O O
 حواره سالكه,B-LOC STAT
 الحاجز فاتح,Barr STAT
 الجهتين فاتح,O STAT
 بيت ايل ازمه قويه للخارجين رام الله,B-LOC I-LOC STAT O O O O
شو وضع دير شرف سالك,O O B-LOC I-LOC STAT
الخارج نابلس بفتشو السيارات بدقه كامله,O O O O O O
 سالك دير شرف كلاب,STAT B-LOC I-LOC O
 مخصوم حوارة خفت الازمه؟,Barr B-LOC O O
 افضل طريق الخروج رام الله الى بيت لحم؟,O Barr O O O O B-LOC O
 فاضية,STAT
 ازمة,STAT
قلقيلية نابلس شو وضعها يا شباب سالكه,O O O O O O STAT
 ازمة بيت ايل سببها حادث الحاجز، الحادث الطريق سالك,STAT B-LOC I-LOC O O O O Barr STAT
 حوارة حاجز حوارة,B-LOC Barr B-LOC
المربعه يا اخوان حدا بعرف اشي ساااالكه,B-LOC O O O O STAT STAT
 سيارتين شرطه بوابت سلواد,O B-ORG O O
شو وضع تل سالكه,O O B-LOC STAT
وضع صرة؟ سالكه,O B-LOC STAT
زعتره ؟ سالك,B-LOC O STAT
 حاجز حوارة للطالع نابلس,Barr B-LOC O O
 اشارات بيت ايل سالكه مافي ازمه,O B-LOC I-LOC STAT O STAT
 حاليا سالك,O STAT
 شباب بوابة يبرود فاتحه,O O O STAT
حدا يرد شباب فاتحة سيارتين شرطة,O O O STAT O B-ORG
 صرة سالك وفاضي,B-LOC STAT STAT
 بوابة يبرود فاتحه سيارة الشرطه السكودا اللي مش مطبعه واقف عكس السير البوابه,O O STAT O B-ORG O O O B-LOC STAT O O O
 حوا،ه سالكه,O STAT
حوا،ه سالكه بتسال بتجواب,O STAT O O
 حاجز حوارة,Barr B-LOC
 الخا،ج ازمه الداخل,O STAT O
 سالك,STAT
حواره السير واقف ازمة خانقة,B-LOC O STAT STAT O
 دوار يتسهار لدوار بيتا سالكه,Barr B-LOC Barr B-LOC STAT
السير واقف ازمة خانقة للداخل,O STAT STAT O O
 دوار كدوميم للفندق ازمه مش طبيعيه,Barr B-LOC B-LOC STAT O O
 شباب مستوطنين برمو حجار إشارة شيلو باتجاه نابلس,O B-ORG O O O O O O
 ديرو بالكم,B-LOC O
للداخل سالك,O STAT
 شافي شمرون حاجز تفتيش للي داخل نابلس,B-LOC I-LOC Barr STAT O O O
شافي شمرون حاجز تفتيش للي داخل نابلس اللي خارج نابلس سالكة,B-LOC I-LOC Barr STAT O O O O O O STAT
 خط تل المربعة سالك ونظيف,O B-LOC B-LOC STAT STAT
 سيارة شرطه اشارات عيون الحراميه,O B-ORG O O O
دير شرف للي طالع سالك,B-LOC I-LOC O O STAT
 شباب صرا فاتحه,O O STAT
 صرة فاتحة,B-LOC STAT
خط تل المربعة سالك ونظيف صوره شباغ,O B-LOC B-LOC STAT STAT B-LOC O
 مستوطنين بصلو دوار سلمان الفارسي ومعبى جيش سالك,B-ORG O Barr B-LOC I-LOC O B-ORG STAT
شباب صرا فاتحه فاتح,O O STAT STAT
شو وضع حاجز بيت فوريك شباب ازمه خانقه,O O Barr B-LOC I-LOC O STAT O
طولكرم نابلس الطريق سالك,O O Barr STAT
صرة فاتحة سالك,B-LOC STAT STAT
يسعد مساكم حوارة فاتحة؟ ازمة,O O B-LOC STAT STAT
شباب شو وضع دير شرف سالك,O O O B-LOC I-LOC STAT
 حواره للي داخل؟؟,B-LOC O O
 اكم مستوطن وليدات شيلو بضربو حجار,O B-ORG O O O O
 طلوع زعترة فاضي,O B-LOC STAT
 يتسار سالك وفاضي,B-LOC STAT STAT
 احنا والله اللبن القديم المعرجات,O O I-LOC O O
 طلوع معالي ادوميم ازمه للي رايح الجنوب,O O B-LOC STAT O O O
 حوارة  دقائق سكر الجهتين,B-LOC O STAT O
وضع قلنديا ؟؟؟؟؟؟ غالباً بالوقت هاض ازمه,O B-LOC O O O O STAT
 ازمة حزما واصلة الرام,STAT B-LOC O B-LOC
 حوارة لساها مسكرة,B-LOC O STAT
 دوار يتسهار لدوار بيتا للي طالع فاضية,Barr B-LOC Barr B-LOC O O STAT
 حاجز بيت فوريك فاتح مسكؤ,Barr B-LOC I-LOC STAT O
حوارة لساها مسكرة الحاجز للبلد,B-LOC O STAT Barr O
 دوار يتسهار سالكة,Barr B-LOC STAT
 شئ,O
لحد زعترة اشي المهم حوارة ويتسار,O B-LOC STAT O B-LOC B-LOC
 طياره عيون الحراميه,O O O
 وشرطه يبرود,B-ORG O
 جب الشرطه بطلوع زعتره,B-LOC B-ORG O B-LOC
 زعتره سالك الجهات وجب الشرطه كمل نزول باتجاه حواره,B-LOC STAT O O B-ORG O O O B-LOC
 صره تفتيش وبداية ازمه,B-LOC STAT O STAT
 وشكله اغلقوه اصلاً,O O O
 شيلو ساالك,O STAT
 صره حاجز للخارج,B-LOC Barr O
 زعترة حوارة سالكة دوار يتسهار,B-LOC B-LOC STAT Barr B-LOC
 صره تفتيش كامل سياره سياره,B-LOC STAT O O O
اي حدا عندو اخبار حوارة يخبرنا سالكة,I-LOC O O O B-LOC O STAT
 حاجز حوارة عالخارج وضعة بالله,Barr B-LOC O O O
 حاجز حوارة ماشي؟؟,Barr B-LOC STAT
 حاجز صرة سالك للداخل,Barr B-LOC STAT O
 دوار زعتره لدوار تساهر الطريق فاضي وسالك تماما حواره مليانه جيش مشاه وثابتين بحكوا حدا بالاضافه لجب الشرطه بتمشى بحواره,Barr B-LOC Barr O Barr STAT STAT B-LOC B-LOC O B-ORG O O O O O O B-ORG O O
 طلوع زعتره سالك ازمة,O B-LOC STAT STAT
 فاضي,STAT
 ازمة جبع حزما,STAT B-LOC B-LOC
 شباب انتبهوا هاي طياره للشرطه بتراقب بالجو اشارات بيت ايل لعند اشارات عيون الحراميه,O O O O B-ORG O O O B-LOC I-LOC O O O O
 بوابة تل مادما يوم مغلقه,O B-LOC B-LOC O STAT
 حاجز حوارة للداخل ازمه ماشي يعني ماشيه بصعوبة,Barr B-LOC O STAT STAT O STAT O
 حاجز صرة للخارج نابلس,Barr B-LOC O O
صره لخارج نابلس مسكر الداخل فش اشي مش مسكر تفتيش لسيارات,B-LOC O O STAT O O STAT O STAT STAT O
 فاتح,STAT
حاجز صرة للخارج نابلس تفتيش لسيارات,Barr B-LOC O O STAT O
 صرة يتسهار زعترة حوارة البلد سالكين,B-LOC B-LOC B-LOC B-LOC O STAT
 نزول بيتا ودوار بيتا سالك,O B-LOC Barr B-LOC STAT
طريق دير شرف شو الوضع شباب سالك,Barr B-LOC I-LOC O O O STAT
 سالك الي طالع رام الله,STAT O O O O
 حواره زعتره رام الله نابلس سالك,B-LOC B-LOC O O O STAT
 للي طالع رام الله طريق كفر عقب ازمة خانقة دوار جبع,O O O O Barr O O STAT O Barr B-LOC
 حاجز حوارة اللي فايت عحوارة تفتيش,Barr B-LOC O O B-LOC STAT
 تفتيش سياره سياره,STAT O O
 حاجز جيت صره للخارجين نابلس ازمه قويه,Barr B-LOC B-LOC O O STAT O
 حاجز حوارة للداخل نابلس سالك,Barr B-LOC O O STAT
 حواره فل سيارات للخارج,B-LOC O O O
 وازمه,STAT
 صره حاجز,B-LOC Barr
شافي شمرون شو وضع سالك,B-LOC I-LOC O O STAT
 داخل حوارة سالكة بالاتجاهين,O B-LOC STAT O
 ازمة الخارجين حاجز جيت صره,STAT O Barr B-LOC B-LOC
صره كيف؟ تفتيش للخارج نابلس,B-LOC O STAT O O
 حاجز حواره سالك للداخل نابلسوالخارج نابلس تفتيش دقيق,Barr B-LOC STAT O O O STAT O
 صرة ازمة,B-LOC STAT
شو وضع رام الله ازمة ماشية,O O O O STAT STAT
 للخارج نابلس,O O
صرة ازمة للخارجين نابلس، الداخل سالك وفاضي,B-LOC STAT O O O STAT STAT
 سيارتين شرطه بوابه يبرود سياره شرطه مفرق سنجل الدخله,O B-ORG O O O B-ORG O O O
الحمرا شو وضعها سالكه,B-LOC O O STAT
 فاضيه,STAT
 كامل خط تساهر سالك وفاضي بالاتجاهين,O O O STAT STAT O
 تفتيش,STAT
 الكل يلف صره,O O B-LOC
 دوار يتسهار جيش نعف توجد مسطوطنين,Barr B-LOC B-ORG O O B-ORG
 مفرق الجنيدي ازمه للقادمين نابلس باتجاه طولكرم والازمه واصله لمصنع الطنيب,O O STAT O O O O O O O O
 صرة فتح,B-LOC STAT
 صره فتحوها للخارج,B-LOC O O
الي بقدر يلف صره ويطلع عدير شرف بكون افضل سالكة صرة,O O O B-LOC O B-LOC I-LOC O O STAT B-LOC
 حاجز صرة فتح,Barr B-LOC STAT
 حوارة الداخل نابلس اشيالي خارج نابلس تفتيش,B-LOC O O O O O STAT
 رام الله الى نابلس سالكه,O O O O STAT
رام الله الى نابلس سالكه سالكه,O O O O STAT STAT
حد بعرف يا شباب؟؟ سالك مفتوح,O O O O STAT STAT
 زعترة وحوارة سالكة,B-LOC B-LOC STAT
 حواره ازمة,B-LOC STAT
 حاجز تفتيش عناب للخارجين طولكرم حاليا,Barr STAT B-LOC O O O
 زعترة سالكة ازمة,B-LOC STAT STAT
 شرطة طيارة عيون الحرامية لعند بوابة يبرود بخالفو باللي بتجاوز غلط الشرطة بوابة يبرود,B-ORG O O O O O O O O O O B-ORG O O
 قصدي رام الله لنابلس حواره البلد حواره الحاجز سالكه تمام زجود شرطه,O O O O B-LOC O B-LOC Barr STAT O O B-ORG
 مفرق جيت سالك صرة حاجز,O B-LOC STAT B-LOC Barr
مفرق جيت سالك صرة حاجز والحاجز حاليا فتح,O B-LOC STAT B-LOC Barr O O STAT
 قلنديا فل ازمة الاتجاهات,B-LOC O STAT O
والحاجز حاليا فتح صحيح الان فتح,O O STAT O O STAT
 صره ازمه الخارج,B-LOC STAT O
 سيرات شرطه عبوابه يبرود,O B-ORG O O
جبع طريقها؟؟؟ ازمة,B-LOC O STAT
 ازمة للخارج نابلس طريق مفرق جيت جهة طريق طولكرم,STAT O O Barr O B-LOC O Barr O
 ازمه سير خانقه دوار قدوميم الفندق المشي حبي اطفال,STAT O O Barr B-LOC B-LOC O O O
 حاجز الجيب ازمه ماشيه,Barr B-ORG STAT STAT
 يتسهار وصرة وجيت سالكات,B-LOC B-LOC B-LOC STAT
 طريق المربعة سالكة للخارجين نابلس,Barr B-LOC STAT O O
 العيزرية فل ازمة,B-LOC O STAT
 حواره المحلات فاتحين بشكل طبيعي,B-LOC O STAT O O
 سالكه,STAT
 الخير الجلزون ازمة,O B-LOC STAT
 حاجز حوارة,Barr B-LOC
دير شرف ازمة ماشية الدوار للمفرق,B-LOC I-LOC STAT STAT Barr O
 ازمه,STAT
 شباب حاجز,O Barr
 حواره ازمه,B-LOC STAT
سمحتو طريق بيت ايل لحزما شو وضعها سالكة ازمة حزما واصلة رامي ليفي,O Barr B-LOC I-LOC B-LOC O O STAT STAT B-LOC O O O
 صره تفتيش,B-LOC STAT
 حاجز حواره فتحو,Barr B-LOC STAT
سمحتو طريق بيت ايل لحزما شو وضعها ازمة ماشية,O Barr B-LOC I-LOC B-LOC O O STAT STAT
ازمة ماشية صرلنا اكثر نص هسا وصلنا حزمة,STAT STAT O O O O O O
حاجز حواره شو وضعوه فاتحمع وجود ازمة للداخل والخارج,Barr B-LOC O O STAT O STAT O O
 حاجز حواره,Barr B-LOC
 حاجز حوارة للخارج نابلس,Barr B-LOC O O
 فكو الحاجز وجود جيش فتحو الحاجز,O Barr O B-ORG STAT Barr
حاجز حواره فاتح,Barr B-LOC STAT
 ابو تيسير حواره لداخل,O O B-LOC O
 حواره الداخل سالك,B-LOC O STAT
 حواره الخارج,B-LOC O
 صرة تفتيش,B-LOC STAT
طريق يتسهار حوارة لصرة مفتوحة؟؟ فاتحة,Barr B-LOC B-LOC B-LOC O STAT
ابو تيسير حواره لداخل سالكة,O O B-LOC O STAT
 الفنقدق ازمة,B-LOC STAT
 حواره للي داخل,B-LOC O O
حواره للي داخل سالكة,B-LOC O O STAT
 بوابة سلواد فاتحة مسكرة,O O STAT STAT
الوضع حجز حواره يا اخوان ماشي ازمه خفيفه,O Barr B-LOC O O STAT STAT O
 حاجز حوارة سالك,Barr B-LOC STAT
 صره للخارج نابلس,B-LOC O O
زعترة كيفك منيحة وسالكة,B-LOC O O STAT
 حوارة البلد سالكة تواجد للجيش بكثافة,B-LOC O STAT O B-ORG O
 خط يتسهار سالك لحد الان,O B-LOC STAT O O
 حاجز حواره,Barr B-LOC
 ازمه,STAT
 الشوفريه عم يلفو طريق عصيره بحكو مسكره شافي شمرون,O O O Barr O O STAT B-LOC I-LOC
 حاجز صره سالك اتجاهين,Barr B-LOC STAT O
 ازمه مش طبيعيه عطريق الفندق الى قلقيليه,STAT O O Barr B-LOC O O
 شباب انتبهو شرطه عزعترة,O O B-ORG B-LOC
 شباب حاجز حواره فاتح,O Barr B-LOC STAT
 مخصوم صرة سلك,Barr B-LOC STAT
 فتحو,STAT
 زعترة فاضية,B-LOC STAT
